Tests for size: 1000000

Test ArrayList.populate():       216 nanoseconds
Test ArrayList.add():            288 nanoseconds
Test ArrayList.get():            1389 nanoseconds
Test ArrayList.remove():         1403 nanoseconds
Test ArrayList.contains():       2684591 nanoseconds
Test ArrayList.iteratorAdd():    633956 nanoseconds
Test ArrayList.iteratorRemove(): 1056687 nanoseconds

Test LinkedList.populate():       207 nanoseconds
Test LinkedList.add():            232 nanoseconds
Test LinkedList.get():            1906 nanoseconds
Test LinkedList.remove():         2405 nanoseconds
Test LinkedList.contains():       4068059 nanoseconds
Test LinkedList.iteratorAdd():    623 nanoseconds
Test LinkedList.iteratorRemove(): 1650 nanoseconds

Test HashSet.populate(): 1482 nanoseconds
Test HashSet.add():      448 nanoseconds
Test HashSet.remove():   1490 nanoseconds
Test HashSet.contains(): 1381 nanoseconds

Test TreeSet.populate(): 1018 nanoseconds
Test TreeSet.add():      2152 nanoseconds
Test TreeSet.remove():   4003 nanoseconds
Test TreeSet.contains(): 3497 nanoseconds
